Epoch,Training Loss,Validation Loss
1,1.7000543142548588,3.746397654002621
2,1.5910208785113251,3.6787646405398844
3,1.5417865710110186,3.6940837796245303
4,1.5122854836178168,3.638748814449424
5,1.47468151717166,3.6295962899568535
6,1.455527609383518,3.5987645785368625
7,1.4337375511250428,3.582727727400405
8,1.4117909721923216,3.5608917978902657
9,1.4015976512474877,3.546375777040209
10,1.3761871360313664,3.5100620820408777
11,1.3682532039912123,3.4876798303709142
12,1.3619149550260825,3.5392829306068876
13,1.3570005887201386,3.4578623563406015
14,1.3343071901823202,3.4867373573992935
15,1.3362339098166907,3.4570769455461274
16,1.3192860454891286,3.4388913943299224
17,1.306726286339275,3.4584724310608137
18,1.298754361872539,3.420844924769231
19,1.2878561394119805,3.3807070728214015
20,1.270364855714677,3.4027853681927636
21,1.266922085791042,3.369655510180053
22,1.2498781678208895,3.3469727731176784
23,1.260103824980664,3.3840341101799694
24,1.2385528328333888,3.331328047173364
25,1.2377808361746478,3.297832534320298
26,1.2206684217819472,3.3200438544863746
27,1.2222564410970826,3.4163556205729644
28,1.2089552668560493,3.2734193380744685
29,1.2161799204228312,3.3406659257553875
30,1.2083275118869456,3.2727252168314798
31,1.1957795021155377,3.318159901031426
32,1.1893269190894502,3.2201019136678606
33,1.1701421802640675,3.294869464635849
34,1.1484383502752302,3.362133494835524
35,1.1615991539825379,3.24698702167897
36,1.1419641970518672,3.2249050095677374
37,1.137994470680801,3.218016904557035
38,1.1351603500758918,3.119019975300346
39,1.118658045868269,3.143139416901838
40,1.1146958370171665,3.168746569149551
41,1.1184076833044085,3.1866853408160662
42,1.1178231261777536,3.1300344896458445
43,1.1061140245726804,3.141120100943815
44,1.0921818233634297,3.1672184537564005
45,1.08901765743832,3.178025972488381
46,1.0876577679852122,3.007505875825882
47,1.0736781938099547,3.204491169395901
48,1.0742184418525422,3.2429713961623965
49,1.0624425627790284,3.0847059778514363
50,1.0709591099199212,3.061028067128999
51,1.053169033022232,3.1399367087653705
52,1.050734038870229,3.121641421247096
53,1.0410661631081093,2.985829422445524
54,1.0209181371844556,2.956322147094068
55,1.0434639100698335,3.182060066717012
56,1.0135793191821951,2.9651102291686193
57,1.0099455520920633,3.064345620714483
58,1.0351814389692253,3.010475249162742
59,1.0084542717927238,3.050270626516569
60,0.9894522316219133,2.77975311513458
61,1.002820052349111,3.122718244720073
62,0.999729782556803,3.035151243138881
63,0.9833141359273326,3.088028774516923
64,0.9764237017259358,3.0689425447157452
65,0.9813642612965912,2.9805175543541
66,0.9364765833475088,3.3335847382744155
67,0.9999556099309733,3.0224128349905923
68,0.9737913169448028,2.8399074231584867
69,0.9583484170040445,3.0012612833863215
70,0.9303862378625065,2.855350009103616
71,0.9365454646424528,3.0146181755122683
72,0.9464642366118123,2.8278582953980993
73,0.950416404932167,3.0668081973280223
74,0.9455678222353379,2.838654984533787
75,0.9411246682646457,2.864577584394387
76,0.9181667554980972,2.9443260566819283
77,0.9168402371152736,3.1681957992769423
78,0.9316597952280176,2.7811031120164054
79,0.9074159272941962,3.010501107147762
80,0.9094340327467645,2.873992978745983
81,0.902490489265066,2.763523773281347
82,0.903023865261075,2.8387992128020243
83,0.9162113618676029,2.912550184343542
84,0.8855485646009588,2.8959300142668543
85,0.8904052145297875,2.910151423017184
86,0.8981331516609808,2.8607672058400655
87,0.8704824363500878,2.7756642082617398
88,0.8853060926029984,2.8031837606713887
89,0.877968022136383,2.8044614198661986
90,0.880142541254679,3.022703758094992
91,0.8566565578937103,2.9391539597795124
92,0.8523880484286678,3.0932261173214233
93,0.8861516766321431,3.0029022649640127
94,0.8426610869422341,2.740342353355317
95,0.8481927803989375,3.297053599996226
96,0.8719270737155488,2.9194892515738804
97,0.8401913244687199,2.8974903294727916
98,0.8863838891984458,2.96868376785091
99,0.8435225484972936,2.920171394944191
100,0.8440263108595422,3.0388056217914534
