train_loss,validation_loss,train_accuracy,validation_accuracy,learning_rate
0.8019078490940947,0.3084695240918626,0.8417522831050228,0.9479483289921538,0.001
0.2791602890513259,0.18277418454910846,0.9442541857832643,0.9673252283258641,0.001
0.19574709763946055,0.1324963484831313,0.9611396501053414,0.9745440736730048,0.001
0.1527104419932518,0.10047830375743673,0.9676084474885844,0.9819528879003322,0.001
0.13297259020002467,0.08679232813734958,0.9731259514752044,0.9852773559854385,0.001
0.11952827243159896,0.07445803173678986,0.9728881278538812,0.988031914893617,0.001
0.10623416562296756,0.06824636518796708,0.9775970319634704,0.9852773559854385,0.001
0.09008692748861634,0.0632264016473547,0.9817351598173516,0.9872720368365024,0.001
0.08505373898060083,0.05868637464702763,0.9801655251141552,0.9879369304535237,0.001
0.08341459888267462,0.05424243780447448,0.9803082191780822,0.988601824070545,0.001
0.07858001674657271,0.05041243112150659,0.9825913242009132,0.9872720368365024,0.001
0.07327836260973522,0.04757748359933178,0.983304794520548,0.9906914893617021,0.001
0.06756905190961342,0.043319668581194064,0.983495053363173,0.992686170212766,0.001
0.058484722337085904,0.04051356855779886,0.9858732876712328,0.9919262921556513,0.001
0.0640535918532203,0.039579880978674334,0.9841133943975788,0.9906914893617021,0.001
0.06239331537457906,0.03792756322295742,0.9835901826484018,0.988601824070545,0.001
0.05532884668796982,0.03532155981644037,0.9870148401826484,0.9920212765957447,0.001
0.05662153400884746,0.035488262069114346,0.9863013698630136,0.9913563829787234,0.001
0.05097406933330782,0.031171858627745446,0.988156392694064,0.9905965049216088,0.001
0.0497035449710951,0.03301662980440132,0.9884417808219178,0.9920212765957447,0.001
