title,type,release_year,listed_in,country,duration_category,popularity_score
Black Mirror,TV Show,2019,"British TV Shows, International TV Shows, TV Dramas",United Kingdom,Series,57.4
Creeped Out,TV Show,2019,"British TV Shows, Kids' TV, TV Thrillers","United Kingdom, Canada",Series,56.4
Social Distance,TV Show,2020,"TV Comedies, TV Dramas",United States,Series,55.5
Narcos,TV Show,2017,"Crime TV Shows, TV Action & Adventure, TV Dramas","United States, Colombia, Mexico",Series,53.2
Heartbreak High,TV Show,1999,"International TV Shows, TV Dramas, Teen TV Shows",Australia,Series,52.4
COMEDIANS of the world,TV Show,2019,"Stand-Up Comedy & Talk Shows, TV Comedies",United States,Series,52.4
Arthur Christmas,Movie,2011,"Children & Family Movies, Comedies","United Kingdom, United States",Medium,50.6
"Michael Bolton's Big, Sexy Valentine's Day Special",Movie,2017,"Comedies, Music & Musicals, Romantic Movies",United States,Short,48.2
"Love, Death & Robots",TV Show,2021,"TV Action & Adventure, TV Horror, TV Sci-Fi & Fantasy",United States,Series,47.6
American Horror Story,TV Show,2019,"TV Horror, TV Mysteries, TV Thrillers",United States,Series,47.4
Dolly Parton's Heartstrings,TV Show,2019,TV Dramas,United States,Series,44.4
7SEEDS,TV Show,2020,"Anime Series, International TV Shows",Unknown,Series,43.5
John Carter,Movie,2012,"Action & Adventure, Sci-Fi & Fantasy",United States,Long,42.7
Movie 43,Movie,2013,Comedies,United States,Medium,41.8
The Princess and the Frog,Movie,2009,Children & Family Movies,United States,Medium,41.4
Dino Girl Gauko,TV Show,2020,"Anime Series, Kids' TV","United States, Japan",Series,40.5
Rhyme & Reason,Movie,1997,"Documentaries, Music & Musicals",United States,Medium,39.2
Amend: The Fight for America,TV Show,2021,Docuseries,United States,Series,38.6
Ultimate Beastmaster,TV Show,2018,Reality TV,"United States, Brazil, South Korea, Mexico, Japan, Germany",Series,38.3
Still LAUGH-IN: The Stars Celebrate,Movie,2019,Comedies,United States,Medium,37.4
